name	link	movie_title	num_votes	num_comments	mbti
Lan Wangji / Zhan	https://www.personality-database.com/profile/23748/lan-wangji-zhan-grandmaster-of-demonic-cultivation-mo-dao-zu-shi-mbti-personality-type	Grandmaster of Demonic Cultivation (Mo Dao Zu Shi)	573	43	ISTJ
Avatar Roku	https://www.personality-database.com/profile/9220/avatar-roku-avatar-the-last-airbender-2005-mbti-personality-type	Avatar: The Last Airbender (2005)	486	44	INFJ
Hooty “Hootcifer”	https://www.personality-database.com/profile/84411/hooty-hootcifer-the-owl-house-2020-mbti-personality-type	The Owl House (2020)	664	74	ESFJ
Lincoln Loud	https://www.personality-database.com/profile/6649/lincoln-loud-the-loud-house-2015-mbti-personality-type	The Loud House (2015)	463	127	INFJ
Queen Tiabeanie “Bean” Mariabeanie de la Rochambeaux Grunkwitz	https://www.personality-database.com/profile/15212/queen-tiabeanie-bean-mariabeanie-de-la-rochambeaux-grunkwitz-disenchantment-2018-mbti-personality-type	Disenchantment (2018)	459	22	ESFP
Mermista	https://www.personality-database.com/profile/25101/mermista-shera-and-the-princesses-of-power-2018-mbti-personality-type	She-Ra and the Princesses of Power (2018)	617	18	ISTP
Wilbur Soot (Dream SMP)	https://www.personality-database.com/profile/252817/wilbur-soot-dream-smp-dream-smp-mbti-personality-type	Dream SMP	633	140	ENFJ
Hordak	https://www.personality-database.com/profile/74133/hordak-shera-and-the-princesses-of-power-2018-mbti-personality-type	She-Ra and the Princesses of Power (2018)	474	29	ISTJ
Shadow Weaver	https://www.personality-database.com/profile/45606/shadow-weaver-shera-and-the-princesses-of-power-2018-mbti-personality-type	She-Ra and the Princesses of Power (2018)	552	87	INTJ
Skips	https://www.personality-database.com/profile/3034/skips-regular-show-2010-mbti-personality-type	Regular Show (2010)	481	26	ISTP
Dora Márquez	https://www.personality-database.com/profile/49560/dora-mrquez-dora-the-explorer-mbti-personality-type	Dora The Explorer	449	186	ESFJ
Zane	https://www.personality-database.com/profile/14260/zane-ninjago-masters-of-spinjitzu-2011-mbti-personality-type	Ninjago: Masters of Spinjitzu (2011)	470	88	INTJ
Bugs Bunny	https://www.personality-database.com/profile/296617/bugs-bunny-the-looney-tunes-show-mbti-personality-type	The Looney Tunes Show	483	33	INTP
Sea Hawk	https://www.personality-database.com/profile/58324/sea-hawk-shera-and-the-princesses-of-power-2018-mbti-personality-type	She-Ra and the Princesses of Power (2018)	516	27	ENFP
Bob Belcher	https://www.personality-database.com/profile/4844/bob-belcher-bobs-burgers-2011-mbti-personality-type	Bob's Burgers (2011)	438	70	ISTP
Eddy	https://www.personality-database.com/profile/1642/eddy-ed-edd-n-eddy-1999-mbti-personality-type	Ed, Edd n Eddy (1999)	489	38	ESTP
Laramie “Lars” Barriga	https://www.personality-database.com/profile/1597/laramie-lars-barriga-steven-universe-2013-mbti-personality-type	Steven Universe (2013)	420	56	ESTP
Ambessa Medarda	https://www.personality-database.com/profile/417400/ambessa-medarda-arcane-2021-mbti-personality-type	Arcane (2021)	425	35	ENTJ
